,TIME,LOCATION,Spending_USD,Life_Expectancy
233,1982,FIN,608.69,74.56666666666666
234,1982,GBR,448.477,74.06666666666666
235,1982,IRL,516.647,72.86666666666666
236,1982,ISL,925.273,77.06666666666666
237,1982,JPN,664.777,76.93333333333334
238,1982,KOR,120.406,67.2
239,1982,LUX,682.382,72.66666666666667
240,1982,NLD,865.857,76.06666666666666
241,1982,NOR,736.7,76.16666666666667
242,1982,NZL,595.608,73.56666666666666
243,1982,PRT,315.546,72.5
244,1982,SWE,1023.743,76.46666666666667
245,1982,TUR,80.066,58.9
246,1982,USA,1329.669,74.46666666666665
247,1983,AUS,757.41,75.43333333333334
248,1983,AUT,736.373,73.16666666666667
249,1983,BEL,786.153,73.93333333333334
250,1983,CAN,1066.746,75.93333333333334
251,1983,CHE,1252.064,76.2
252,1983,DEU,1104.594,73.76666666666667
253,1983,DNK,1003.394,74.56666666666666
254,1983,ESP,420.609,76.03333333333333
255,1983,FIN,659.054,74.43333333333334
256,1983,GBR,501.924,74.3
257,1983,ISL,984.268,76.86666666666666
258,1983,JPN,714.857,77.0
259,1983,KOR,136.946,67.66666666666667
260,1983,LUX,709.5,73.5
261,1983,NLD,906.974,76.26666666666667
262,1983,NOR,811.405,76.23333333333333
263,1983,NZL,634.13,73.7
264,1983,PRT,309.161,72.39999999999999
265,1983,SWE,1062.581,76.7
266,1983,TUR,88.742,59.699999999999996
267,1983,USA,1451.945,74.56666666666666
268,1984,AUS,803.836,75.73333333333333
269,1984,AUT,770.301,73.76666666666667
270,1984,BEL,813.539,74.5
271,1984,CAN,1135.02,76.23333333333333
272,1984,CHE,1300.9,76.86666666666667
273,1984,DEU,1196.56,74.26666666666667
274,1984,DNK,1025.308,74.73333333333333
275,1984,ESP,429.37,76.39999999999999
276,1984,FIN,715.288,74.8
277,1984,GBR,521.522,74.5
278,1984,ISL,962.924,77.63333333333333
279,1984,JPN,745.981,77.36666666666667
280,1984,KOR,148.47,68.3
281,1984,LUX,752.045,73.3
282,1984,NLD,941.224,76.36666666666667
283,1984,NOR,839.519,76.36666666666666
284,1984,NZL,644.193,73.8
285,1984,PRT,314.303,72.7
286,1984,SWE,1122.729,76.96666666666667
287,1984,TUR,91.92,60.86666666666667
288,1984,USA,1590.667,74.66666666666667
289,1985,AUS,855.498,75.56666666666666
290,1985,AUT,828.948,73.96666666666667
291,1985,BEL,865.865,74.6
292,1985,CAN,1212.85,76.33333333333333
293,1985,CHE,1487.125,76.96666666666667
294,1985,DEU,1298.555,74.96666666666665
295,1985,DNK,1106.65,74.53333333333333
296,1985,ESP,444.876,76.36666666666666
297,1985,FIN,805.55,74.46666666666667
298,1985,FRA,1001.145,75.36666666666667
299,1985,GBR,549.608,74.66666666666667
300,1985,IRL,606.567,73.39999999999999
301,1985,ISL,1046.257,77.63333333333334
302,1985,JPN,818.382,77.63333333333333
303,1985,KOR,165.515,68.89999999999999
304,1985,LUX,798.892,73.8
305,1985,NLD,977.443,76.46666666666665
306,1985,NOR,908.492,76.03333333333333
307,1985,NZL,605.897,74.0
308,1985,PRT,371.664,72.96666666666667
309,1985,SWE,1120.765,76.8
310,1985,TUR,69.653,62.06666666666666
311,1985,USA,1735.156,74.66666666666667
312,1986,AUS,904.542,76.03333333333335
313,1986,AUT,889.349,74.43333333333334
314,1986,BEL,944.824,74.8
315,1986,CAN,1278.816,76.46666666666665
316,1986,CHE,1601.171,77.13333333333334
317,1986,DEU,1386.51,75.16666666666667
318,1986,DNK,1167.596,74.73333333333333
319,1986,ESP,471.863,76.66666666666667
320,1986,FIN,863.619,74.8
321,1986,GBR,578.61,74.8
322,1986,IRL,620.319,73.56666666666666
323,1986,ISL,1248.18,78.03333333333335
324,1986,JPN,859.855,78.06666666666666
325,1986,KOR,183.518,69.53333333333333
326,1986,LUX,883.739,74.7
327,1986,NLD,1035.491,76.39999999999999
328,1986,NOR,966.06,76.43333333333334
329,1986,NZL,666.359,74.1
330,1986,PRT,463.516,73.36666666666667
331,1986,SWE,1155.201,77.06666666666666
332,1986,TUR,96.084,63.199999999999996
333,1986,USA,1847.773,74.7
